2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.989221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.989221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.994220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.994220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.999221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.999221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.004223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.005221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.009221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.009221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.014220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.015220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.021220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.021220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.026224", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.026224", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.032219", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.032219", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.037220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.038220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.044220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.044220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.049221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.050221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.055221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.055221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.060221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.060221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.064220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.065221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.069222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.070223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.074222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.074222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.081221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.081221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.088219", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.088219", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.094223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.094223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.098220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.098220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.104219", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.104219", "message": "탐지 결과 획득", "data": {"count": 0}}
